UID	Base_Price	Sakhalin_OPT
aed88ef4-4916-11e4-82ab-000d88394cae	5.04	5.31
f0913547-f897-11dd-a977-0016d341a9fb	7.67	8.08
f618e731-834a-11e5-856d-000d88394cae	11.60	12.24
9b5de877-8314-11e7-b1ed-000d88394cae	3.82	4.03
f618e733-834a-11e5-856d-000d88394cae	13.76	14.51
f0913549-f897-11dd-a977-0016d341a9fb	9.40	9.90
bc0681ec-7804-11df-8b45-6cf04914883f	10.32	10.88
f618e735-834a-11e5-856d-000d88394cae	15.71	16.56
8b55d02c-d9fd-11e2-9521-000d88394cae	11.02	11.62
c512eaa9-727e-11df-b94e-000a94026913	9.34	9.84
bc0681ea-7804-11df-8b45-6cf04914883f	10.26	10.82
d6125c93-dabb-11dd-9a15-00192147196d	11.34	11.96
d6125c96-dabb-11dd-9a15-00192147196d	12.35	13.02
e71236ae-b7d2-11e0-ab66-6cf04914883f	80.56	84.92
78eb2d45-509a-11e7-99bf-000d88394cae	151.20	159.39
b594c970-d0a2-11e7-9bf2-000d88394cae	12.44	13.12
78eb2d47-509a-11e7-99bf-000d88394cae	428.62	471.48
b594c972-d0a2-11e7-9bf2-000d88394cae	39.19	41.32
bfe7d9c3-659b-11e6-97f9-000d88394cae	1369.67	1506.64
c9f11d8b-596e-11e4-ad10-000d88394cae	684.84	753.32
d512dfb9-56d3-11e7-8f28-000d88394cae	28.58	30.13
2e30e5a6-beb1-11e7-8214-000d88394cae	57.17	60.26
c9f11d89-596e-11e4-ad10-000d88394cae	1112.15	1223.37
f618e72b-834a-11e5-856d-000d88394cae	2264.38	2490.82
d512dfbc-56d3-11e7-8f28-000d88394cae	46.01	48.50
c9f11d8d-596e-11e4-ad10-000d88394cae	1706.57	1877.23
d512dfbf-56d3-11e7-8f28-000d88394cae	69.34	73.09
78eb2d49-509a-11e7-99bf-000d88394cae	178.92	196.81
78eb2d4b-509a-11e7-99bf-000d88394cae	243.43	267.78
78eb2d4d-509a-11e7-99bf-000d88394cae	340.19	358.62
b594c96c-d0a2-11e7-9bf2-000d88394cae	8.24	8.69
b594c96a-d0a2-11e7-9bf2-000d88394cae	8.70	9.18
44111ba8-b107-11e6-915f-000d88394cae	8.94	9.43
b594c968-d0a2-11e7-9bf2-000d88394cae	9.05	9.53
